 ,X,Y
1,144.000,58.000
2,93.500,9.500
3,189.500,15.500
4,47.500,73.500
5,93.500,101.500
6,149.500,129.500
7,215.500,75.500
8,249.500,95.500
9,399.500,31.500
10,455.500,15.500
11,627.500,9.500
12,651.500,15.500
13,827.500,13.500
14,833.500,61.500
15,779.500,9.500
16,723.500,85.500
17,623.500,95.500
18,523.500,59.500
19,515.500,145.500
20,565.500,73.500
21,695.500,115.500
22,831.500,143.500
23,879.500,95.500
24,875.500,37.500
25,753.500,183.500
26,811.500,185.500
27,861.500,203.500
28,879.500,253.500
29,783.500,261.500
30,791.500,217.500
31,461.500,145.500
32,435.500,123.500
33,383.500,117.500
34,283.500,185.500
35,307.500,123.500
36,203.500,177.500
37,47.500,141.500
38,13.500,195.500
39,39.500,267.500
40,99.500,297.500
41,163.500,305.500
42,221.500,387.500
43,71.500,423.500
44,151.500,437.500
45,181.500,493.500
46,343.500,327.500
47,391.500,321.500
48,479.500,213.500
49,515.500,289.500
50,559.500,179.500
51,565.500,237.500
52,647.500,237.500
53,665.500,155.500
54,655.500,305.500
55,751.500,339.500
56,831.500,321.500
57,817.500,367.500
58,855.500,369.500
59,591.500,337.500
60,495.500,323.500
61,451.500,393.500
62,391.500,431.500
63,619.500,421.500
64,683.500,345.500
65,643.500,335.500
66,669.500,413.500
67,731.500,483.500
68,873.500,533.500
69,865.500,493.500
70,889.500,467.500
71,787.500,547.500
72,837.500,569.500
73,739.500,543.500
74,697.500,579.500
75,571.500,517.500
76,587.500,465.500
77,453.500,467.500
78,363.500,457.500
79,365.500,513.500
80,51.500,505.500
81,9.500,497.500
82,17.500,569.500
83,19.500,629.500
84,111.500,493.500
85,83.500,635.500
86,167.500,695.500
87,171.500,579.500
88,219.500,593.500
89,287.500,625.500
90,343.500,569.500
91,239.500,541.500
92,403.500,569.500
93,397.500,607.500
94,487.500,555.500
95,603.500,583.500
96,627.500,539.500
97,635.500,625.500
98,559.500,619.500
99,595.500,631.500
100,741.500,609.500
101,769.500,659.500
102,827.500,643.500
103,275.500,723.500
104,331.500,687.500
105,371.500,669.500
106,491.500,657.500
107,565.500,673.500
108,543.500,719.500
109,489.500,749.500
110,815.500,735.500
111,879.500,701.500
112,883.500,773.500
113,863.500,743.500
114,821.500,841.500
115,799.500,819.500
116,775.500,875.500
117,679.500,881.500
118,619.500,835.500
119,619.500,787.500
120,523.500,813.500
121,459.500,819.500
122,239.500,769.500
123,299.500,779.500
124,61.500,745.500
125,147.500,765.500
126,43.500,829.500
127,11.500,753.500
128,115.500,859.500
129,67.500,877.500
130,173.500,885.500
131,343.500,869.500
132,319.500,829.500
133,207.500,265.500
134,291.500,69.500
135,403.500,869.500
136,563.500,865.500
137,691.500,775.500
138,343.500,765.500
139,451.500,251.500
140,239.500,195.500
141,313.500,169.500
142,795.500,405.500
143,721.500,651.500
144,685.500,707.500
145,171.500,205.500
146,279.500,309.500
147,115.500,371.500
148,33.500,345.500
149,265.500,523.500
150,261.500,663.500
