 ,X,Y
1,62.000,78.000
2,103.500,31.500
3,151.500,25.500
4,219.500,77.500
5,177.500,83.500
6,105.500,129.500
7,311.500,31.500
8,367.500,33.500
9,319.500,83.500
10,287.500,99.500
11,473.500,15.500
12,451.500,57.500
13,533.500,51.500
14,577.500,37.500
15,667.500,7.500
16,621.500,85.500
17,775.500,77.500
18,845.500,33.500
19,861.500,67.500
20,729.500,111.500
21,789.500,125.500
22,747.500,69.500
23,715.500,167.500
24,661.500,199.500
25,609.500,189.500
26,563.500,137.500
27,469.500,103.500
28,439.500,117.500
29,377.500,109.500
30,409.500,235.500
31,455.500,213.500
32,485.500,189.500
33,523.500,175.500
34,419.500,181.500
35,381.500,173.500
36,255.500,237.500
37,207.500,259.500
38,71.500,245.500
39,21.500,209.500
40,21.500,265.500
41,295.500,311.500
42,221.500,323.500
43,307.500,257.500
44,435.500,343.500
45,379.500,373.500
46,283.500,415.500
47,247.500,361.500
48,143.500,433.500
49,77.500,437.500
50,15.500,405.500
51,579.500,285.500
52,555.500,321.500
53,527.500,347.500
54,687.500,273.500
55,643.500,313.500
56,601.500,349.500
57,547.500,385.500
58,431.500,417.500
59,807.500,233.500
60,875.500,229.500
61,837.500,287.500
62,793.500,281.500
63,775.500,297.500
64,731.500,299.500
65,887.500,265.500
66,749.500,377.500
67,791.500,405.500
68,863.500,399.500
69,829.500,327.500
70,673.500,461.500
71,767.500,463.500
72,751.500,521.500
73,651.500,501.500
74,579.500,505.500
75,557.500,505.500
76,491.500,541.500
77,451.500,509.500
78,341.500,481.500
79,429.500,559.500
80,377.500,539.500
81,241.500,509.500
82,247.500,545.500
83,183.500,487.500
84,93.500,507.500
85,7.500,499.500
86,7.500,579.500
87,41.500,615.500
88,97.500,597.500
89,135.500,625.500
90,297.500,613.500
91,351.500,591.500
92,341.500,639.500
93,395.500,611.500
94,261.500,651.500
95,285.500,723.500
96,343.500,693.500
97,203.500,741.500
98,129.500,701.500
99,149.500,785.500
100,119.500,821.500
101,35.500,871.500
102,7.500,711.500
103,85.500,745.500
104,57.500,729.500
105,111.500,657.500
106,227.500,829.500
107,253.500,801.500
108,305.500,763.500
109,347.500,755.500
110,363.500,713.500
111,433.500,671.500
112,413.500,701.500
113,427.500,745.500
114,399.500,779.500
115,495.500,663.500
116,539.500,687.500
117,583.500,681.500
118,661.500,653.500
119,631.500,597.500
120,663.500,569.500
121,863.500,545.500
122,827.500,569.500
123,807.500,587.500
124,807.500,659.500
125,871.500,669.500
126,871.500,703.500
127,851.500,733.500
128,871.500,765.500
129,803.500,737.500
130,731.500,755.500
131,723.500,681.500
132,685.500,705.500
133,767.500,759.500
134,709.500,803.500
135,591.500,747.500
136,519.500,825.500
137,667.500,789.500
138,339.500,875.500
139,273.500,885.500
140,499.500,857.500
141,695.500,877.500
142,801.500,877.500
143,815.500,805.500
144,849.500,805.500
145,535.500,597.500
146,133.500,309.500
147,259.500,449.500
148,257.500,181.500
149,115.500,245.500
150,253.500,13.500
151,587.500,437.500
152,707.500,581.500
153,691.500,621.500
154,775.500,665.500
155,77.500,651.500
156,179.500,525.500
157,851.500,469.500
158,135.500,171.500
159,19.500,19.500
