 ,X,Y
1,66.000,12.000
2,85.500,59.500
3,163.500,57.500
4,315.500,65.500
5,299.500,5.500
6,343.500,5.500
7,447.500,93.500
8,479.500,49.500
9,515.500,29.500
10,517.500,101.500
11,555.500,77.500
12,601.500,35.500
13,699.500,9.500
14,729.500,61.500
15,743.500,9.500
16,819.500,17.500
17,777.500,71.500
18,797.500,113.500
19,847.500,173.500
20,859.500,131.500
21,865.500,245.500
22,791.500,185.500
23,831.500,245.500
24,763.500,249.500
25,815.500,281.500
26,647.500,169.500
27,655.500,139.500
28,735.500,165.500
29,599.500,193.500
30,571.500,233.500
31,515.500,215.500
32,457.500,149.500
33,411.500,201.500
34,335.500,125.500
35,359.500,109.500
36,249.500,133.500
37,87.500,133.500
38,27.500,115.500
39,157.500,173.500
40,111.500,229.500
41,245.500,285.500
42,245.500,269.500
43,323.500,237.500
44,81.500,303.500
45,71.500,377.500
46,47.500,321.500
47,151.500,317.500
48,163.500,237.500
49,191.500,379.500
50,303.500,309.500
51,443.500,341.500
52,447.500,271.500
53,387.500,237.500
54,533.500,335.500
55,453.500,385.500
56,587.500,355.500
57,607.500,353.500
58,667.500,381.500
59,687.500,297.500
60,793.500,333.500
61,767.500,377.500
62,837.500,377.500
63,875.500,367.500
64,869.500,471.500
65,821.500,409.500
66,811.500,477.500
67,827.500,529.500
68,779.500,507.500
69,687.500,453.500
70,659.500,431.500
71,737.500,419.500
72,565.500,417.500
73,515.500,461.500
74,583.500,505.500
75,575.500,573.500
76,523.500,561.500
77,319.500,423.500
78,269.500,437.500
79,219.500,437.500
80,135.500,525.500
81,115.500,437.500
82,171.500,445.500
83,35.500,453.500
84,31.500,395.500
85,279.500,585.500
86,369.500,501.500
87,441.500,519.500
88,447.500,573.500
89,451.500,659.500
90,359.500,627.500
91,287.500,677.500
92,233.500,653.500
93,159.500,667.500
94,141.500,593.500
95,111.500,729.500
96,103.500,645.500
97,103.500,783.500
98,179.500,801.500
99,255.500,753.500
100,365.500,829.500
101,515.500,649.500
102,551.500,637.500
103,677.500,673.500
104,739.500,573.500
105,583.500,461.500
106,759.500,629.500
107,783.500,697.500
108,847.500,693.500
109,829.500,779.500
110,855.500,849.500
111,735.500,745.500
112,693.500,723.500
113,625.500,745.500
114,583.500,817.500
115,543.500,745.500
116,483.500,729.500
117,439.500,763.500
118,495.500,853.500
119,699.500,877.500
120,643.500,791.500
121,395.500,805.500
122,291.500,831.500
123,223.500,517.500
124,391.500,877.500
125,799.500,839.500
126,149.500,109.500
127,443.500,53.500
128,507.500,129.500
129,579.500,311.500
130,463.500,317.500
131,311.500,545.500
132,717.500,117.500
133,867.500,57.500
