 ,X,Y
1,84.000,34.000
2,157.500,33.500
3,9.500,61.500
4,57.500,69.500
5,95.500,79.500
6,145.500,73.500
7,195.500,61.500
8,33.500,113.500
9,27.500,177.500
10,81.500,157.500
11,115.500,145.500
12,159.500,189.500
13,195.500,161.500
14,243.500,181.500
15,315.500,77.500
16,431.500,101.500
17,403.500,137.500
18,467.500,165.500
19,487.500,97.500
20,449.500,33.500
21,555.500,61.500
22,609.500,81.500
23,575.500,123.500
24,503.500,139.500
25,511.500,197.500
26,547.500,205.500
27,581.500,173.500
28,609.500,147.500
29,669.500,149.500
30,683.500,99.500
31,757.500,37.500
32,809.500,49.500
33,857.500,15.500
34,879.500,73.500
35,857.500,113.500
36,771.500,169.500
37,763.500,125.500
38,727.500,127.500
39,787.500,213.500
40,823.500,229.500
41,293.500,185.500
42,419.500,233.500
43,315.500,237.500
44,249.500,261.500
45,201.500,241.500
46,885.500,197.500
47,695.500,229.500
48,647.500,225.500
49,575.500,245.500
50,483.500,261.500
51,527.500,269.500
52,593.500,285.500
53,635.500,317.500
54,657.500,261.500
55,685.500,261.500
56,727.500,287.500
57,789.500,325.500
58,851.500,267.500
59,885.500,299.500
60,847.500,361.500
61,9.500,315.500
62,47.500,301.500
63,103.500,295.500
64,141.500,303.500
65,159.500,347.500
66,183.500,317.500
67,257.500,341.500
68,299.500,305.500
69,337.500,339.500
70,217.500,377.500
71,179.500,427.500
72,15.500,363.500
73,61.500,349.500
74,109.500,369.500
75,133.500,403.500
76,67.500,419.500
77,51.500,487.500
78,103.500,461.500
79,155.500,447.500
80,195.500,461.500
81,229.500,437.500
82,587.500,417.500
83,553.500,381.500
84,605.500,353.500
85,647.500,381.500
86,699.500,349.500
87,757.500,369.500
88,699.500,421.500
89,735.500,449.500
90,651.500,449.500
91,783.500,425.500
92,801.500,393.500
93,839.500,533.500
94,823.500,503.500
95,875.500,393.500
96,885.500,535.500
97,871.500,493.500
98,21.500,605.500
99,109.500,557.500
100,117.500,517.500
101,197.500,553.500
102,283.500,473.500
103,345.500,527.500
104,355.500,573.500
105,399.500,509.500
106,459.500,565.500
107,423.500,535.500
108,507.500,483.500
109,547.500,477.500
110,551.500,533.500
111,767.500,613.500
112,857.500,631.500
113,881.500,689.500
114,707.500,619.500
115,727.500,661.500
116,771.500,677.500
117,675.500,657.500
118,617.500,705.500
119,567.500,691.500
120,517.500,673.500
121,535.500,621.500
122,489.500,609.500
123,437.500,609.500
124,387.500,679.500
125,339.500,715.500
126,295.500,665.500
127,279.500,597.500
128,333.500,629.500
129,299.500,523.500
130,247.500,559.500
131,223.500,501.500
132,179.500,633.500
133,207.500,605.500
134,239.500,643.500
135,123.500,611.500
136,89.500,605.500
137,51.500,667.500
138,41.500,721.500
139,135.500,717.500
140,139.500,673.500
141,183.500,721.500
142,219.500,669.500
143,35.500,787.500
144,139.500,825.500
145,145.500,773.500
146,99.500,809.500
147,85.500,839.500
148,183.500,833.500
149,225.500,791.500
150,251.500,745.500
151,253.500,799.500
152,291.500,759.500
153,345.500,755.500
154,395.500,761.500
155,427.500,717.500
156,479.500,717.500
157,453.500,757.500
158,463.500,655.500
159,319.500,833.500
160,351.500,791.500
161,355.500,825.500
162,395.500,867.500
163,411.500,801.500
164,437.500,853.500
165,189.500,869.500
166,259.500,849.500
167,343.500,863.500
168,479.500,831.500
169,491.500,785.500
170,537.500,793.500
171,539.500,835.500
172,581.500,819.500
173,623.500,819.500
174,665.500,865.500
175,633.500,881.500
176,717.500,817.500
177,759.500,795.500
178,745.500,745.500
179,655.500,757.500
180,757.500,849.500
181,801.500,843.500
182,783.500,881.500
183,855.500,881.500
184,867.500,813.500
185,441.500,463.500
186,611.500,601.500
187,599.500,17.500
188,389.500,439.500
189,391.500,297.500
190,507.500,343.500
191,487.500,401.500
192,603.500,537.500
193,3.500,445.500
194,79.500,251.500
195,767.500,543.500
196,839.500,799.500
197,401.500,345.500
