image_name,category,nucleus_id,centroid_x_px,centroid_y_px,centroid_x_um,centroid_y_um,area_px,area_um2,perimeter_px,perimeter_um,circularity,eccentricity,solidity,major_axis_um,minor_axis_um,aspect_ratio,extent,equivalent_diameter_um,bbox_ymin,bbox_xmin,bbox_ymax,bbox_xmax,orientation_rad
FL_examples (1),follicular_lymphoma,1,76.27,2.93,35.08,1.35,177,37.453,85.63,39.389,0.3034,0.974,0.6996,16.836,3.818,4.41,0.4917,6.906,0,59,10,95,1.477
FL_examples (1),follicular_lymphoma,2,210.67,7.21,96.91,3.32,168,35.549,54.04,24.859,0.7229,0.7938,0.8796,8.95,5.443,1.6443,0.6588,6.728,0,204,17,219,0.4969
FL_examples (1),follicular_lymphoma,3,20.97,15.71,9.65,7.23,197,41.685,65.49,30.126,0.5772,0.8028,0.8795,9.625,5.739,1.6772,0.6156,7.285,6,13,26,29,-0.4101
FL_examples (1),follicular_lymphoma,4,194.4,11.36,89.42,5.23,58,12.273,27.14,12.485,0.9893,0.6041,0.9062,4.476,3.567,1.2549,0.6444,3.953,7,190,16,200,-1.1663
FL_examples (1),follicular_lymphoma,5,8.41,11.47,3.87,5.28,127,26.873,44.8,20.608,0.7952,0.4387,0.9007,6.28,5.644,1.1128,0.6978,5.849,5,3,19,16,-0.1445
FL_examples (1),follicular_lymphoma,6,97.99,10.18,45.07,4.68,72,15.235,40.8,18.768,0.5436,0.7675,0.6792,6.607,4.235,1.56,0.5143,4.404,3,93,17,103,-0.1178
FL_examples (1),follicular_lymphoma,7,180.1,7.98,82.84,3.67,207,43.801,63.46,29.19,0.646,0.7854,0.8809,9.937,6.151,1.6155,0.6809,7.468,0,173,19,189,-0.4849
FL_examples (1),follicular_lymphoma,8,163.62,8.89,75.26,4.09,276,58.402,84.39,38.82,0.487,0.664,0.8961,10.326,7.721,1.3373,0.7263,8.623,0,154,19,174,0.7689
FL_examples (1),follicular_lymphoma,9,58.58,14.76,26.94,6.79,33,6.983,19.31,8.884,1.0,0.6866,0.9429,3.515,2.556,1.3754,0.6875,2.982,12,55,18,63,-1.3643
FL_examples (1),follicular_lymphoma,10,132.22,16.07,60.82,7.39,80,16.928,31.31,14.404,1.0,0.5199,0.9412,5.038,4.304,1.1706,0.8081,4.643,11,128,22,137,0.2277
FL_examples (1),follicular_lymphoma,11,147.11,15.57,67.67,7.16,115,24.334,42.38,19.497,0.8044,0.8563,0.9127,7.782,4.019,1.9362,0.7188,5.566,8,143,24,153,0.3412
FL_examples (1),follicular_lymphoma,12,34.25,16.81,15.76,7.73,80,16.928,32.14,14.785,0.9731,0.5323,0.9412,5.139,4.35,1.1813,0.7273,4.643,13,29,23,40,-0.8961
FL_examples (1),follicular_lymphoma,13,110.33,20.56,50.75,9.46,214,45.282,60.77,27.954,0.7282,0.7246,0.8807,9.465,6.523,1.451,0.6369,7.593,10,102,31,118,0.1605
