image_name,category,target,n_nuclei,nuclear_density_per_1000um2,nuclear_area_fraction,area_top10_mean_um2,area_top10_short_axis_um,area_um2_mean,area_um2_std,area_um2_skew,area_um2_cv,perimeter_um_mean,perimeter_um_std,perimeter_um_skew,perimeter_um_cv,circularity_mean,circularity_std,circularity_skew,circularity_cv,eccentricity_mean,eccentricity_std,eccentricity_skew,eccentricity_cv,solidity_mean,solidity_std,solidity_skew,solidity_cv,major_axis_um_mean,major_axis_um_std,major_axis_um_skew,major_axis_um_cv,minor_axis_um_mean,minor_axis_um_std,minor_axis_um_skew,minor_axis_um_cv,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_skew,aspect_ratio_cv,knn1_dist_mean_um,knn1_dist_std_um,knn3_dist_mean_um,knn3_dist_std_um,glcm_contrast,glcm_homogeneity,glcm_energy,lbp_entropy,hchannel_mean,hchannel_std
FL_examples (1),follicular_lymphoma,1,170,16.012,0.3853,46.764,6.476,24.0664,10.3699,1.09,0.4309,20.0322,7.2924,1.5561,0.364,0.7931,0.1959,-0.7655,0.247,0.6747,0.1565,-0.4577,0.2319,0.8922,0.0647,-1.4424,0.0726,6.8904,2.2197,1.5143,0.3221,4.646,1.0257,0.2463,0.2208,1.501,0.4299,2.6627,0.2864,6.1056,1.04,7.2555,1.0391,43.3654,0.2659,0.044,2.9852,178.39,39.6026
FL_examples (10),follicular_lymphoma,1,165,15.541,0.3586,46.539,6.358,23.0734,11.2359,2.6479,0.487,19.5211,7.592,2.1755,0.3889,0.8003,0.2017,-0.8147,0.252,0.6875,0.1674,-0.5555,0.2435,0.8906,0.0732,-1.2316,0.0822,6.8199,2.1376,1.125,0.3134,4.485,1.0977,1.0653,0.2447,1.5523,0.4463,1.6473,0.2875,5.9371,1.2623,7.2114,1.2534,51.6174,0.2382,0.0414,3.0438,179.7964,39.8055
FL_examples (100),follicular_lymphoma,1,156,14.693,0.4935,80.197,8.722,33.5901,20.7942,1.8209,0.6191,24.4275,11.0183,1.3207,0.4511,0.746,0.198,-0.4586,0.2654,0.7069,0.1549,-0.7861,0.2191,0.8711,0.0737,-0.8209,0.0846,8.3427,3.2445,1.3765,0.3889,5.3588,1.7411,1.2907,0.3249,1.5773,0.422,1.283,0.2676,6.5131,1.1777,7.6337,1.3535,31.2383,0.2864,0.0485,2.453,183.5451,36.3783
FL_examples (101),follicular_lymphoma,1,176,16.577,0.4852,56.991,7.244,29.2717,13.4987,0.7417,0.4612,22.7692,8.6661,0.9508,0.3806,0.7516,0.1883,-0.7043,0.2505,0.712,0.1532,-0.8642,0.2151,0.872,0.0717,-1.1504,0.0823,7.8749,2.6208,0.77,0.3328,5.0438,1.3725,0.5769,0.2721,1.5826,0.41,1.3323,0.259,6.0103,1.0184,7.0002,1.1194,35.3637,0.2778,0.047,2.5268,183.1961,37.2572
FL_examples (102),follicular_lymphoma,1,177,16.671,0.5143,62.187,7.274,30.8494,14.3362,1.5732,0.4647,23.2403,8.382,1.4751,0.3607,0.7522,0.1759,-0.5196,0.2338,0.7296,0.1496,-0.8656,0.205,0.8739,0.0663,-1.0649,0.0759,8.2816,2.8294,1.3625,0.3417,5.0712,1.2048,1.3519,0.2376,1.6504,0.4926,1.8935,0.2985,6.2666,0.9453,7.308,0.982,32.5634,0.2796,0.0487,2.3632,186.7112,36.2251
FL_examples (103),follicular_lymphoma,1,175,16.483,0.4907,63.104,7.073,29.7691,14.9466,1.415,0.5021,22.844,8.7871,1.1755,0.3847,0.7574,0.1917,-0.477,0.2531,0.716,0.1533,-0.8385,0.2141,0.8724,0.0747,-1.0244,0.0856,8.006,2.8564,1.2283,0.3568,5.0403,1.2638,0.9128,0.2507,1.5943,0.4058,1.0507,0.2545,6.0476,1.2177,7.1509,1.2704,34.51,0.2768,0.0478,2.3782,185.1906,36.4214
FL_examples (104),follicular_lymphoma,1,161,15.164,0.4704,57.978,7.397,31.0224,14.1136,0.5351,0.4549,23.7163,8.13,0.4397,0.3428,0.7184,0.1753,-0.1022,0.244,0.74,0.1444,-1.2944,0.1951,0.8564,0.0664,-0.5424,0.0775,8.259,2.5089,0.4672,0.3038,5.1187,1.4302,0.3869,0.2794,1.6577,0.4831,3.1427,0.2915,6.2395,1.19,7.3534,1.2423,38.5078,0.2734,0.0466,2.4548,184.0285,38.5225
FL_examples (105),follicular_lymphoma,1,184,17.33,0.5061,59.048,7.081,29.202,14.0454,1.0577,0.481,22.3777,8.2852,1.177,0.3702,0.7639,0.1756,-0.4747,0.2299,0.7082,0.1585,-0.688,0.2238,0.8775,0.0612,-0.8846,0.0697,7.9329,2.9611,1.464,0.3733,4.9587,1.1876,1.1745,0.2395,1.6088,0.5029,1.9558,0.3126,5.9517,1.0506,7.0297,0.9889,34.4786,0.2757,0.049,2.4496,189.2989,35.3983
FL_examples (106),follicular_lymphoma,1,173,16.294,0.5097,64.327,8.065,31.2838,15.4082,1.1796,0.4925,23.4768,9.3312,1.3603,0.3975,0.7569,0.1939,-0.4909,0.2562,0.7129,0.1552,-0.883,0.2177,0.8776,0.0749,-1.2471,0.0853,8.1785,2.8226,0.8923,0.3451,5.1862,1.4894,1.5756,0.2872,1.6003,0.4421,1.2108,0.2763,6.2311,1.0886,7.25,1.0598,31.4227,0.2881,0.0496,2.4472,187.4488,35.796
FL_examples (107),follicular_lymphoma,1,162,15.258,0.4788,66.542,7.896,31.3795,15.5771,1.5519,0.4964,22.8425,8.0295,1.2203,0.3515,0.7738,0.1622,-0.6433,0.2096,0.7039,0.147,-0.7188,0.2088,0.8809,0.0631,-1.5079,0.0717,8.0047,2.6239,1.1078,0.3278,5.2112,1.3052,1.0342,0.2505,1.5456,0.3763,1.3495,0.2434,6.4493,1.1904,7.5129,1.2535,32.525,0.2899,0.0493,2.4202,186.35,36.4026
