validation,model,fold,auc_roc,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,false_negative_rate,false_positive_rate,n_train,n_test,best_params,sottoinsieme,n_biomarcatori
contributo: tutte,logistic_regression,0,0.9372222222222222,0.8833333333333333,0.8833333333333333,0.8194444444444444,0.9833333333333333,0.7833333333333333,0.893939393939394,0.01666666666666672,0.21666666666666667,480,120,{'model__C': 1.0},tutte,33
contributo: tutte,random_forest,0,0.9745833333333334,0.9,0.8999999999999999,0.8428571428571429,0.9833333333333333,0.8166666666666667,0.9076923076923077,0.01666666666666672,0.18333333333333335,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",tutte,33
contributo: tutte,xgboost,0,0.9669444444444444,0.9166666666666666,0.9166666666666667,0.8787878787878788,0.9666666666666667,0.8666666666666667,0.9206349206349207,0.033333333333333326,0.1333333333333333,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",tutte,33
contributo: tutte,logistic_regression,1,0.9819444444444444,0.9,0.9,0.8529411764705882,0.9666666666666667,0.8333333333333334,0.90625,0.033333333333333326,0.16666666666666663,480,120,{'model__C': 1.0},tutte,33
contributo: tutte,random_forest,1,0.9736111111111111,0.8916666666666667,0.8916666666666666,0.873015873015873,0.9166666666666666,0.8666666666666667,0.894308943089431,0.08333333333333337,0.1333333333333333,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",tutte,33
contributo: tutte,xgboost,1,0.9802777777777777,0.9083333333333333,0.9083333333333333,0.8888888888888888,0.9333333333333333,0.8833333333333333,0.9105691056910569,0.06666666666666665,0.1166666666666667,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",tutte,33
contributo: tutte,logistic_regression,2,0.9536111111111111,0.85,0.85,0.875,0.8166666666666667,0.8833333333333333,0.8448275862068966,0.18333333333333335,0.1166666666666667,480,120,{'model__C': 1.0},tutte,33
contributo: tutte,random_forest,2,0.954861111111111,0.8666666666666667,0.8666666666666667,0.8793103448275862,0.85,0.8833333333333333,0.864406779661017,0.15000000000000002,0.1166666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",tutte,33
contributo: tutte,xgboost,2,0.9563888888888888,0.8666666666666667,0.8666666666666667,0.8928571428571429,0.8333333333333334,0.9,0.8620689655172413,0.16666666666666663,0.09999999999999998,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",tutte,33
contributo: tutte,logistic_regression,3,0.8075,0.7666666666666667,0.7666666666666666,0.8636363636363636,0.6333333333333333,0.9,0.7307692307692307,0.3666666666666667,0.09999999999999998,480,120,{'model__C': 10.0},tutte,33
contributo: tutte,random_forest,3,0.9191666666666666,0.7916666666666666,0.7916666666666667,0.8723404255319149,0.6833333333333333,0.9,0.766355140186916,0.31666666666666665,0.09999999999999998,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",tutte,33
contributo: tutte,xgboost,3,0.8938888888888888,0.8166666666666667,0.8166666666666667,0.9130434782608695,0.7,0.9333333333333333,0.7924528301886793,0.30000000000000004,0.06666666666666665,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",tutte,33
contributo: tutte,logistic_regression,4,0.8155555555555555,0.7333333333333333,0.7333333333333334,0.8043478260869565,0.6166666666666667,0.85,0.6981132075471699,0.3833333333333333,0.15000000000000002,480,120,{'model__C': 0.1},tutte,33
contributo: tutte,random_forest,4,0.8584722222222222,0.7666666666666667,0.7666666666666666,0.8478260869565217,0.65,0.8833333333333333,0.7358490566037735,0.35,0.1166666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",tutte,33
contributo: tutte,xgboost,4,0.9027777777777778,0.8,0.8,0.8913043478260869,0.6833333333333333,0.9166666666666666,0.7735849056603774,0.31666666666666665,0.08333333333333337,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",tutte,33
contributo: senza intensita',logistic_regression,0,0.9433333333333334,0.8583333333333333,0.8583333333333334,0.8115942028985508,0.9333333333333333,0.7833333333333333,0.8682170542635659,0.06666666666666665,0.21666666666666667,480,120,{'model__C': 1.0},senza intensita',31
contributo: senza intensita',random_forest,0,0.967361111111111,0.8666666666666667,0.8666666666666667,0.8142857142857143,0.95,0.7833333333333333,0.8769230769230769,0.050000000000000044,0.21666666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",senza intensita',31
contributo: senza intensita',xgboost,0,0.9622222222222222,0.8916666666666667,0.8916666666666666,0.8507462686567164,0.95,0.8333333333333334,0.8976377952755905,0.050000000000000044,0.16666666666666663,480,120,"{'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 300}",senza intensita',31
contributo: senza intensita',logistic_regression,1,0.9827777777777778,0.9083333333333333,0.9083333333333333,0.8769230769230769,0.95,0.8666666666666667,0.912,0.050000000000000044,0.1333333333333333,480,120,{'model__C': 1.0},senza intensita',31
contributo: senza intensita',random_forest,1,0.9604166666666666,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.1166666666666667,0.1166666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",senza intensita',31
contributo: senza intensita',xgboost,1,0.9788888888888889,0.925,0.925,0.9047619047619048,0.95,0.9,0.9268292682926829,0.050000000000000044,0.09999999999999998,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",senza intensita',31
contributo: senza intensita',logistic_regression,2,0.9430555555555555,0.85,0.85,0.9038461538461539,0.7833333333333333,0.9166666666666666,0.8392857142857143,0.21666666666666667,0.08333333333333337,480,120,{'model__C': 1.0},senza intensita',31
contributo: senza intensita',random_forest,2,0.9469444444444445,0.8666666666666667,0.8666666666666667,0.8793103448275862,0.85,0.8833333333333333,0.864406779661017,0.15000000000000002,0.1166666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",senza intensita',31
contributo: senza intensita',xgboost,2,0.9394444444444444,0.8583333333333333,0.8583333333333334,0.8771929824561403,0.8333333333333334,0.8833333333333333,0.8547008547008548,0.16666666666666663,0.1166666666666667,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",senza intensita',31
contributo: senza intensita',logistic_regression,3,0.7997222222222222,0.7583333333333333,0.7583333333333333,0.8604651162790697,0.6166666666666667,0.9,0.7184466019417476,0.3833333333333333,0.09999999999999998,480,120,{'model__C': 10.0},senza intensita',31
contributo: senza intensita',random_forest,3,0.9154166666666667,0.8,0.8,0.9090909090909091,0.6666666666666666,0.9333333333333333,0.7692307692307692,0.33333333333333337,0.06666666666666665,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",senza intensita',31
contributo: senza intensita',xgboost,3,0.8883333333333334,0.8,0.8,0.9090909090909091,0.6666666666666666,0.9333333333333333,0.7692307692307692,0.33333333333333337,0.06666666666666665,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",senza intensita',31
contributo: senza intensita',logistic_regression,4,0.836111111111111,0.7833333333333333,0.7833333333333333,0.8541666666666666,0.6833333333333333,0.8833333333333333,0.7592592592592592,0.31666666666666665,0.1166666666666667,480,120,{'model__C': 1.0},senza intensita',31
contributo: senza intensita',random_forest,4,0.8363888888888888,0.7416666666666667,0.7416666666666667,0.8222222222222222,0.6166666666666667,0.8666666666666667,0.7047619047619048,0.3833333333333333,0.1333333333333333,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",senza intensita',31
contributo: senza intensita',xgboost,4,0.8463888888888889,0.7333333333333333,0.7333333333333334,0.8333333333333334,0.5833333333333334,0.8833333333333333,0.6862745098039216,0.41666666666666663,0.1166666666666667,480,120,"{'model__learning_rate': 0.2, 'model__max_depth': 6, 'model__n_estimators': 300}",senza intensita',31
contributo: senza tessitura,logistic_regression,0,0.8316666666666666,0.7666666666666667,0.7666666666666666,0.7285714285714285,0.85,0.6833333333333333,0.7846153846153846,0.15000000000000002,0.31666666666666665,480,120,{'model__C': 10.0},senza tessitura,30
contributo: senza tessitura,random_forest,0,0.8759722222222223,0.7833333333333333,0.7833333333333333,0.75,0.85,0.7166666666666667,0.7968749999999999,0.15000000000000002,0.2833333333333333,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",senza tessitura,30
contributo: senza tessitura,xgboost,0,0.8705555555555555,0.7583333333333333,0.7583333333333333,0.7384615384615385,0.8,0.7166666666666667,0.768,0.19999999999999996,0.2833333333333333,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",senza tessitura,30
contributo: senza tessitura,logistic_regression,1,0.8808333333333334,0.7916666666666666,0.7916666666666667,0.7536231884057971,0.8666666666666667,0.7166666666666667,0.8062015503875969,0.1333333333333333,0.2833333333333333,480,120,{'model__C': 10.0},senza tessitura,30
contributo: senza tessitura,random_forest,1,0.8991666666666667,0.7833333333333333,0.7833333333333333,0.8035714285714286,0.75,0.8166666666666667,0.7758620689655172,0.25,0.18333333333333335,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",senza tessitura,30
contributo: senza tessitura,xgboost,1,0.8644444444444446,0.8,0.8,0.8214285714285714,0.7666666666666667,0.8333333333333334,0.793103448275862,0.23333333333333328,0.16666666666666663,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",senza tessitura,30
contributo: senza tessitura,logistic_regression,2,0.7566666666666667,0.6666666666666666,0.6666666666666667,0.6724137931034483,0.65,0.6833333333333333,0.6610169491525424,0.35,0.31666666666666665,480,120,{'model__C': 1.0},senza tessitura,30
contributo: senza tessitura,random_forest,2,0.8516666666666667,0.7416666666666667,0.7416666666666667,0.7377049180327869,0.75,0.7333333333333333,0.743801652892562,0.25,0.2666666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",senza tessitura,30
contributo: senza tessitura,xgboost,2,0.8441666666666666,0.7416666666666667,0.7416666666666667,0.7457627118644068,0.7333333333333333,0.75,0.7394957983193278,0.2666666666666667,0.25,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",senza tessitura,30
contributo: senza tessitura,logistic_regression,3,0.7975,0.7083333333333334,0.7083333333333333,0.711864406779661,0.7,0.7166666666666667,0.7058823529411764,0.30000000000000004,0.2833333333333333,480,120,{'model__C': 1.0},senza tessitura,30
contributo: senza tessitura,random_forest,3,0.9093055555555556,0.775,0.775,0.8113207547169812,0.7166666666666667,0.8333333333333334,0.7610619469026548,0.2833333333333333,0.16666666666666663,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",senza tessitura,30
contributo: senza tessitura,xgboost,3,0.918611111111111,0.8083333333333333,0.8083333333333333,0.8032786885245902,0.8166666666666667,0.8,0.8099173553719008,0.18333333333333335,0.19999999999999996,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",senza tessitura,30
contributo: senza tessitura,logistic_regression,4,0.6580555555555556,0.625,0.625,0.6744186046511628,0.48333333333333334,0.7666666666666667,0.5631067961165049,0.5166666666666666,0.23333333333333328,480,120,{'model__C': 10.0},senza tessitura,30
contributo: senza tessitura,random_forest,4,0.8420833333333334,0.7583333333333333,0.7583333333333333,0.8163265306122449,0.6666666666666666,0.85,0.7339449541284403,0.33333333333333337,0.15000000000000002,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",senza tessitura,30
contributo: senza tessitura,xgboost,4,0.8461111111111111,0.7833333333333333,0.7833333333333333,0.84,0.7,0.8666666666666667,0.7636363636363636,0.30000000000000004,0.1333333333333333,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",senza tessitura,30
contributo: solo morfometria e spaziale,logistic_regression,0,0.8188888888888889,0.75,0.75,0.734375,0.7833333333333333,0.7166666666666667,0.7580645161290323,0.21666666666666667,0.2833333333333333,480,120,{'model__C': 1.0},solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,random_forest,0,0.8715277777777778,0.8083333333333333,0.8083333333333333,0.7846153846153846,0.85,0.7666666666666667,0.816,0.15000000000000002,0.23333333333333328,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,xgboost,0,0.8683333333333333,0.7916666666666666,0.7916666666666667,0.7868852459016393,0.8,0.7833333333333333,0.7933884297520661,0.19999999999999996,0.21666666666666667,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,logistic_regression,1,0.8694444444444444,0.7916666666666666,0.7916666666666667,0.7536231884057971,0.8666666666666667,0.7166666666666667,0.8062015503875969,0.1333333333333333,0.2833333333333333,480,120,{'model__C': 1.0},solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,random_forest,1,0.8666666666666667,0.7666666666666667,0.7666666666666666,0.7857142857142857,0.7333333333333333,0.8,0.7586206896551724,0.2666666666666667,0.19999999999999996,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,xgboost,1,0.8286111111111111,0.725,0.725,0.7368421052631579,0.7,0.75,0.717948717948718,0.30000000000000004,0.25,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}",solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,logistic_regression,2,0.6880555555555555,0.6083333333333333,0.6083333333333334,0.6181818181818182,0.5666666666666667,0.65,0.591304347826087,0.43333333333333335,0.35,480,120,{'model__C': 0.1},solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,random_forest,2,0.8397222222222221,0.725,0.7250000000000001,0.7454545454545455,0.6833333333333333,0.7666666666666667,0.7130434782608696,0.31666666666666665,0.23333333333333328,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,xgboost,2,0.8450000000000001,0.7666666666666667,0.7666666666666666,0.7580645161290323,0.7833333333333333,0.75,0.7704918032786884,0.21666666666666667,0.25,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,logistic_regression,3,0.8008333333333333,0.7166666666666667,0.7166666666666667,0.7321428571428571,0.6833333333333333,0.75,0.706896551724138,0.31666666666666665,0.25,480,120,{'model__C': 1.0},solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,random_forest,3,0.9015277777777777,0.775,0.775,0.8367346938775511,0.6833333333333333,0.8666666666666667,0.7522935779816514,0.31666666666666665,0.1333333333333333,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,xgboost,3,0.9191666666666667,0.8333333333333334,0.8333333333333333,0.8225806451612904,0.85,0.8166666666666667,0.8360655737704918,0.15000000000000002,0.18333333333333335,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}",solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,logistic_regression,4,0.6508333333333333,0.6333333333333333,0.6333333333333333,0.6818181818181818,0.5,0.7666666666666667,0.576923076923077,0.5,0.23333333333333328,480,120,{'model__C': 10.0},solo morfometria e spaziale,28
contributo: solo morfometria e spaziale,random_forest,4,0.8218055555555556,0.7666666666666667,0.7666666666666666,0.8076923076923077,0.7,0.8333333333333334,0.75,0.30000000000000004,0.16666666666666663,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",solo morfometria e spaziale,28
