sottoinsieme,n_biomarcatori,model,auc_roc_medio,auc_roc_std
tutte,33,logistic_regression,0.8991666666666667,0.07301805120974632
tutte,33,random_forest,0.936138888888889,0.0437100258296045
tutte,33,xgboost,0.9400555555555556,0.03501031594005145
senza intensita',31,logistic_regression,0.901,0.07030809622697609
senza intensita',31,random_forest,0.9253055555555555,0.047903371746583316
senza intensita',31,xgboost,0.9230555555555556,0.04899672450629408
senza tessitura,30,logistic_regression,0.7849444444444444,0.07541314192704503
senza tessitura,30,random_forest,0.8756388888888889,0.02602980841124124
senza tessitura,30,xgboost,0.8687777777777779,0.026925021636452873
solo morfometria e spaziale,28,logistic_regression,0.765611111111111,0.08252186391915392
solo morfometria e spaziale,28,random_forest,0.86025,0.027464820371243842
solo morfometria e spaziale,28,xgboost,0.8572222222222223,0.03454510381415672
solo tessitura e intensita',5,logistic_regression,0.8913333333333334,0.08648135458789964
solo tessitura e intensita',5,random_forest,0.945111111111111,0.03918827221264478
solo tessitura e intensita',5,xgboost,0.9438888888888888,0.027366398248334044
