feature,group,kept,representative
n_nuclei,16,True,n_nuclei
nuclear_density_per_1000um2,16,False,n_nuclei
nuclear_area_fraction,8,True,nuclear_area_fraction
area_top10_mean_um2,10,True,area_top10_mean_um2
area_top10_short_axis_um,10,False,area_top10_mean_um2
area_um2_mean,11,True,area_um2_mean
area_um2_std,10,False,area_top10_mean_um2
area_um2_skew,1,True,area_um2_skew
area_um2_cv,30,True,area_um2_cv
perimeter_um_mean,12,True,perimeter_um_mean
perimeter_um_std,28,True,perimeter_um_std
perimeter_um_skew,3,True,perimeter_um_skew
perimeter_um_cv,32,True,perimeter_um_cv
circularity_mean,22,True,circularity_mean
circularity_std,25,True,circularity_std
circularity_skew,22,False,circularity_mean
circularity_cv,25,False,circularity_std
eccentricity_mean,20,True,eccentricity_mean
eccentricity_std,19,True,eccentricity_std
eccentricity_skew,21,True,eccentricity_skew
eccentricity_cv,19,False,eccentricity_std
solidity_mean,23,True,solidity_mean
solidity_std,24,True,solidity_std
solidity_skew,33,True,solidity_skew
solidity_cv,24,False,solidity_std
major_axis_um_mean,12,False,perimeter_um_mean
major_axis_um_std,26,True,major_axis_um_std
major_axis_um_skew,4,True,major_axis_um_skew
major_axis_um_cv,27,True,major_axis_um_cv
minor_axis_um_mean,11,False,area_um2_mean
minor_axis_um_std,29,True,minor_axis_um_std
minor_axis_um_skew,2,True,minor_axis_um_skew
minor_axis_um_cv,31,True,minor_axis_um_cv
aspect_ratio_mean,20,False,eccentricity_mean
aspect_ratio_std,14,True,aspect_ratio_std
aspect_ratio_skew,15,True,aspect_ratio_skew
aspect_ratio_cv,14,False,aspect_ratio_std
knn1_dist_mean_um,18,True,knn1_dist_mean_um
knn1_dist_std_um,17,True,knn1_dist_std_um
knn3_dist_mean_um,16,False,n_nuclei
knn3_dist_std_um,17,False,knn1_dist_std_um
glcm_contrast,6,True,glcm_contrast
glcm_homogeneity,5,True,glcm_homogeneity
glcm_energy,5,False,glcm_homogeneity
lbp_entropy,7,True,lbp_entropy
hchannel_mean,9,True,hchannel_mean
hchannel_std,13,True,hchannel_std
