validation,model,fold,auc_roc,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,false_negative_rate,false_positive_rate,n_train,n_test,best_params
A_casuale,logistic_regression,0,0.9149999999999999,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666663,0.16666666666666663,480,120,{'model__C': 1.0}
A_casuale,random_forest,0,0.9544444444444445,0.85,0.85,0.85,0.85,0.85,0.85,0.15000000000000002,0.15000000000000002,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
A_casuale,xgboost,0,0.9658333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.1166666666666667,0.1166666666666667,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}"
A_casuale,logistic_regression,1,0.9219444444444445,0.85,0.85,0.85,0.85,0.85,0.85,0.15000000000000002,0.15000000000000002,480,120,{'model__C': 1.0}
A_casuale,random_forest,1,0.9533333333333334,0.8416666666666667,0.8416666666666667,0.8727272727272727,0.8,0.8833333333333333,0.8347826086956521,0.19999999999999996,0.1166666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
A_casuale,xgboost,1,0.9422222222222223,0.8416666666666667,0.8416666666666667,0.847457627118644,0.8333333333333334,0.85,0.8403361344537815,0.16666666666666663,0.15000000000000002,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}"
A_casuale,logistic_regression,2,0.8980555555555555,0.85,0.8500000000000001,0.8181818181818182,0.9,0.8,0.8571428571428572,0.09999999999999998,0.19999999999999996,480,120,{'model__C': 1.0}
A_casuale,random_forest,2,0.9691666666666666,0.9,0.9,0.875,0.9333333333333333,0.8666666666666667,0.9032258064516129,0.06666666666666665,0.1333333333333333,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
A_casuale,xgboost,2,0.9733333333333334,0.925,0.925,0.9047619047619048,0.95,0.9,0.9268292682926829,0.050000000000000044,0.09999999999999998,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300}"
A_casuale,logistic_regression,3,0.9241666666666667,0.8416666666666667,0.8416666666666667,0.8360655737704918,0.85,0.8333333333333334,0.8429752066115703,0.15000000000000002,0.16666666666666663,480,120,{'model__C': 10.0}
A_casuale,random_forest,3,0.9573611111111111,0.8666666666666667,0.8666666666666667,0.8793103448275862,0.85,0.8833333333333333,0.864406779661017,0.15000000000000002,0.1166666666666667,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
A_casuale,xgboost,3,0.9694444444444444,0.9083333333333333,0.9083333333333333,0.9152542372881356,0.9,0.9166666666666666,0.9075630252100839,0.09999999999999998,0.08333333333333337,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}"
A_casuale,logistic_regression,4,0.9313888888888889,0.8666666666666667,0.8666666666666667,0.94,0.7833333333333333,0.95,0.8545454545454546,0.21666666666666667,0.050000000000000044,480,120,{'model__C': 1.0}
A_casuale,random_forest,4,0.9665277777777778,0.9,0.8999999999999999,0.9444444444444444,0.85,0.95,0.8947368421052632,0.15000000000000002,0.050000000000000044,480,120,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}"
A_casuale,xgboost,4,0.9730555555555556,0.9,0.8999999999999999,0.9444444444444444,0.85,0.95,0.8947368421052632,0.15000000000000002,0.050000000000000044,480,120,"{'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300}"
B_blocchi,logistic_regression,0,0.9372222222222222,0.8833333333333333,0.8833333333333333,0.8194444444444444,0.9833333333333333,0.7833333333333333,0.893939393939394,0.01666666666666672,0.21666666666666667,480,120,{'model__C': 1.0}
