feature,importance,direction,direction_rho,quintile_profile
lbp_entropy,3.1494174,REACTIVE,-0.8761675351094742,+6.10 +3.03 -1.87 -1.56 -2.93
hchannel_mean,1.2310822,REACTIVE,-0.8862250172917145,+0.97 +1.07 +0.37 -0.75 -2.92
solidity_mean,0.6558399,non monotona,0.12674831369113845,+0.52 -0.64 -0.83 -0.15 +0.56
glcm_contrast,0.5875717,REACTIVE,-0.8560986002738896,+0.60 +0.65 +0.07 -0.59 -0.83
knn1_dist_mean_um,0.56931156,FL,0.8679621206610236,-0.88 -0.51 -0.00 +0.62 +0.56
n_nuclei,0.41275638,non monotona,0.751099347317743,-0.50 -0.43 +0.28 +0.49 +0.31
hchannel_std,0.33035317,non monotona,-0.1510737975465265,-0.15 +0.04 +0.21 -0.01 -0.35
glcm_homogeneity,0.28470668,FL,0.9027295591113124,-0.59 -0.08 +0.01 +0.30 +0.36
minor_axis_um_skew,0.24599975,REACTIVE,-0.7247590583250357,+0.44 +0.14 -0.21 -0.23 -0.17
major_axis_um_cv,0.21354948,REACTIVE,-0.9133356924236322,+0.29 +0.17 -0.02 -0.07 -0.44
aspect_ratio_skew,0.1834964,FL,0.8235089035335378,-0.24 -0.24 +0.00 +0.16 +0.18
area_um2_mean,0.17742988,REACTIVE,-0.8337462234953054,+0.37 +0.01 -0.03 -0.10 -0.28
area_top10_mean_um2,0.168388,REACTIVE,-0.4994919637183925,+0.06 +0.08 +0.13 +0.02 -0.42
nuclear_area_fraction,0.15969798,non monotona,-0.521067158238891,+0.08 -0.02 +0.08 -0.18 -0.24
solidity_std,0.1542132,FL,0.7700452245314284,-0.26 +0.03 +0.09 +0.11 +0.21
aspect_ratio_std,0.14772469,REACTIVE,-0.8243711510793889,+0.20 +0.13 +0.05 -0.11 -0.19
eccentricity_std,0.14718819,REACTIVE,-0.6945595526635763,+0.21 +0.08 +0.04 -0.00 -0.22
area_um2_skew,0.14617322,REACTIVE,-0.8014218319642906,+0.17 +0.15 -0.00 -0.10 -0.21
circularity_std,0.14344868,non monotona,0.6419208893756835,-0.13 -0.09 +0.03 -0.03 +0.31
minor_axis_um_cv,0.1323659,non monotona,0.5531781122307428,-0.20 -0.02 +0.01 -0.05 +0.20
eccentricity_skew,0.13019487,non monotona,-0.5554447573821314,+0.08 +0.18 +0.06 -0.12 -0.06
eccentricity_mean,0.1218734,non monotona,-0.2663433287914034,+0.20 -0.10 -0.15 -0.01 -0.02
knn1_dist_std_um,0.11300527,non monotona,-0.648547327736125,+0.06 +0.13 +0.04 -0.20 -0.09
circularity_mean,0.08740459,REACTIVE,-0.855550637787422,+0.10 +0.06 +0.04 -0.06 -0.16
perimeter_um_mean,0.08160861,FL,0.8304589553328646,-0.08 -0.07 -0.01 +0.08 +0.12
major_axis_um_skew,0.079345234,non monotona,0.6926756453704034,-0.09 -0.06 -0.04 +0.09 +0.06
area_um2_cv,0.07866428,non monotona,-0.41077032475049824,+0.13 +0.01 -0.07 -0.06 -0.01
perimeter_um_cv,0.06983135,non monotona,-0.10814752497635158,+0.02 -0.05 +0.04 +0.00 -0.05
perimeter_um_skew,0.06761626,non monotona,0.18256835833197452,-0.02 -0.02 -0.09 -0.02 +0.05
solidity_skew,0.06047116,non monotona,-0.24592062096886996,-0.06 +0.05 +0.06 -0.05 -0.04
major_axis_um_std,0.049877178,non monotona,0.16911847458210658,+0.04 -0.06 -0.02 +0.01 +0.00
perimeter_um_std,0.035038773,non monotona,0.7473994207987235,-0.03 -0.04 +0.01 +0.03 +0.04
minor_axis_um_std,0.025980987,REACTIVE,-0.3171296316740454,+0.05 -0.02 -0.02 -0.01 -0.01
