image_name,category,sigma,target,n_nuclei,nuclear_density_per_1000um2,nuclear_area_fraction,area_top10_mean_um2,area_top10_short_axis_um,area_um2_mean,area_um2_std,area_um2_skew,area_um2_cv,perimeter_um_mean,perimeter_um_std,perimeter_um_skew,perimeter_um_cv,circularity_mean,circularity_std,circularity_skew,circularity_cv,eccentricity_mean,eccentricity_std,eccentricity_skew,eccentricity_cv,solidity_mean,solidity_std,solidity_skew,solidity_cv,major_axis_um_mean,major_axis_um_std,major_axis_um_skew,major_axis_um_cv,minor_axis_um_mean,minor_axis_um_std,minor_axis_um_skew,minor_axis_um_cv,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_skew,aspect_ratio_cv,knn1_dist_mean_um,knn1_dist_std_um,knn3_dist_mean_um,knn3_dist_std_um,glcm_contrast,glcm_homogeneity,glcm_energy,lbp_entropy,hchannel_mean,hchannel_std,probability
FL_examples (78),follicular_lymphoma,0.0,1,181,17.048,0.4919,57.577,7.237,28.8536,13.4999,1.1998,0.4679,22.4422,8.2484,1.2728,0.3675,0.757,0.1819,-0.6521,0.2403,0.7182,0.145,-0.8843,0.2019,0.8724,0.0716,-1.1581,0.0821,7.8671,2.5849,1.0176,0.3286,4.987,1.2087,0.7401,0.2424,1.593,0.4217,1.4548,0.2647,6.0484,1.001,7.1299,1.1117,36.2867,0.275,0.0483,2.5189,188.5622,36.1327,0.9982513785362244
FL_examples (78),follicular_lymphoma,0.1,1,187,17.613,0.4914,56.932,7.064,27.8995,13.3342,1.3812,0.4779,22.029,8.151,1.3136,0.37,0.7593,0.1809,-0.6906,0.2383,0.7094,0.1503,-0.7693,0.2119,0.8721,0.0721,-1.3229,0.0827,7.6937,2.5649,1.1006,0.3334,4.9257,1.2016,0.7584,0.2439,1.578,0.424,1.4362,0.2687,5.897,1.0325,7.0065,1.127,37.5405,0.2723,0.0475,2.5455,187.436,36.5164,0.9966712594032288
FL_examples (78),follicular_lymphoma,0.2,1,171,16.106,0.4895,66.219,7.55,30.395,16.2531,1.5553,0.5347,22.6243,8.805,1.1981,0.3892,0.7749,0.1781,-0.7351,0.2298,0.7099,0.157,-0.8286,0.2212,0.8825,0.0641,-1.0081,0.0727,8.0284,2.9297,0.9041,0.3649,5.0566,1.3223,1.2819,0.2615,1.5933,0.4476,1.4613,0.2809,6.1587,1.1305,7.3294,1.1885,32.5378,0.2682,0.0487,2.2943,189.0511,35.7965,0.9965558052062988
FL_examples (78),follicular_lymphoma,0.3,1,192,18.084,0.303,31.306,5.581,16.7528,7.3341,0.5925,0.4378,18.4253,7.1422,1.1416,0.3876,0.672,0.2047,-0.013,0.3046,0.7372,0.1503,-0.9352,0.2039,0.8161,0.0911,-0.6933,0.1116,6.3535,2.0888,1.1612,0.3288,3.8798,1.0287,0.3331,0.2651,1.6749,0.4814,1.3348,0.2874,5.4339,1.0883,6.5752,1.0617,54.2773,0.2161,0.04,2.7804,143.8743,36.6671,0.9997637867927551
FL_examples (69),follicular_lymphoma,0.0,1,158,14.881,0.483,72.566,8.585,32.4565,18.0193,1.3288,0.5552,23.6564,9.2927,1.0284,0.3928,0.7494,0.1767,-0.3875,0.2358,0.7034,0.155,-1.0557,0.2203,0.8715,0.0671,-0.851,0.077,8.1163,2.767,0.7141,0.3409,5.3025,1.6414,1.273,0.3096,1.553,0.3904,1.5167,0.2514,6.3042,1.29,7.36,1.2552,33.171,0.2822,0.0487,2.4416,186.3182,36.9478,0.9959248304367065
FL_examples (69),follicular_lymphoma,0.1,1,157,14.787,0.4851,72.949,8.665,32.8061,18.1065,1.3216,0.5519,23.9115,9.2652,0.9999,0.3875,0.7408,0.1762,-0.3166,0.2378,0.6995,0.1549,-0.9026,0.2214,0.8693,0.0671,-0.7077,0.0772,8.1521,2.7415,0.6972,0.3363,5.3557,1.6528,1.2341,0.3086,1.5495,0.4062,1.6102,0.2621,6.3996,1.257,7.4274,1.2031,32.9302,0.2836,0.049,2.4547,187.4188,36.6534,0.9973435997962952
FL_examples (69),follicular_lymphoma,0.2,1,167,15.729,0.3776,57.493,7.613,24.0046,14.8814,1.8285,0.6199,21.2131,9.8867,1.7367,0.4661,0.7086,0.1987,-0.3283,0.2804,0.7074,0.1658,-1.1341,0.2344,0.8428,0.0795,-0.6491,0.0943,7.0952,2.5977,1.2648,0.3661,4.5669,1.5059,1.0163,0.3297,1.5869,0.4198,1.1143,0.2645,5.9636,1.2107,6.9998,1.2434,49.3052,0.2388,0.0406,2.7676,163.7647,39.5393,0.9986905455589294
FL_examples (69),follicular_lymphoma,0.3,1,154,14.505,0.4849,78.318,9.02,33.4286,20.5064,1.8395,0.6134,23.7681,10.2498,1.4882,0.4312,0.7648,0.1783,-0.5445,0.2331,0.6991,0.1436,-0.8112,0.2054,0.8773,0.065,-0.8233,0.0741,8.1131,2.8783,0.866,0.3548,5.3853,1.7756,1.5253,0.3297,1.524,0.3617,1.6926,0.2373,6.4122,1.3578,7.4602,1.2642,30.1564,0.2816,0.0498,2.3289,187.9994,36.2893,0.9975101947784424
FL_examples (208),follicular_lymphoma,0.0,1,171,16.106,0.2961,38.346,6.026,18.3857,9.6723,1.3003,0.5261,17.6332,7.5109,1.2324,0.426,0.7814,0.21,-0.6885,0.2688,0.7029,0.1649,-0.4387,0.2346,0.8569,0.094,-1.3154,0.1097,6.323,2.3154,0.8641,0.3662,3.9946,1.2441,0.561,0.3114,1.6722,0.8115,4.7457,0.4853,5.6897,1.224,6.9396,1.2569,47.7515,0.2602,0.0435,2.8986,158.5011,38.3151,0.9695907235145569
FL_examples (208),follicular_lymphoma,0.1,1,167,15.729,0.2891,38.138,5.872,18.3826,9.3354,1.3437,0.5078,17.7111,7.369,1.4192,0.4161,0.7779,0.2113,-0.6758,0.2716,0.6986,0.1679,-0.4852,0.2403,0.8585,0.0939,-1.446,0.1093,6.3259,2.2728,0.9274,0.3593,4.0074,1.1662,0.4208,0.291,1.6599,0.8068,4.8914,0.4861,5.7302,1.2768,7.0074,1.321,48.5381,0.2563,0.0433,2.9019,156.9509,38.178,0.9458476305007935
FL_examples (208),follicular_lymphoma,0.2,1,168,15.823,0.2871,39.096,6.091,18.1422,9.7987,1.6597,0.5401,17.5593,7.6177,1.6063,0.4338,0.7787,0.2096,-0.6857,0.2692,0.6971,0.1702,-0.531,0.2442,0.8575,0.0926,-1.2794,0.108,6.2478,2.2688,1.134,0.3631,3.9845,1.2304,0.5332,0.3088,1.6559,0.8014,4.9459,0.484,5.7241,1.2834,7.0169,1.3715,49.6897,0.2543,0.0429,2.9049,156.3059,38.6789,0.9248883724212646
FL_examples (208),follicular_lymphoma,0.3,1,165,15.541,0.2851,38.1,5.815,18.3476,9.3765,1.3889,0.511,17.5554,7.171,1.3495,0.4085,0.7837,0.2067,-0.6832,0.2637,0.6972,0.174,-0.5672,0.2495,0.8596,0.0908,-1.4903,0.1056,6.3047,2.2464,0.9059,0.3563,3.9958,1.181,0.474,0.2956,1.6646,0.8245,5.3481,0.4953,5.7467,1.2458,7.0666,1.3002,44.8641,0.2674,0.0446,2.8887,156.916,37.9268,0.9964609742164612
FL_examples (119),follicular_lymphoma,0.0,1,140,13.186,0.1859,26.994,4.678,14.1016,6.4627,0.6747,0.4583,14.9123,5.4151,1.1003,0.3631,0.8164,0.1958,-0.8325,0.2398,0.7239,0.1639,-0.7995,0.2264,0.866,0.0931,-1.3218,0.1075,5.5658,1.74,0.9077,0.3126,3.4593,0.934,-0.157,0.27,1.6748,0.5438,1.5798,0.3247,5.8778,1.3052,7.4382,1.4491,49.7271,0.2497,0.0425,2.6987,150.3674,38.7693,0.9996744394302368
FL_examples (119),follicular_lymphoma,0.1,1,135,12.715,0.1672,23.457,4.226,13.1458,5.7198,0.3308,0.4351,14.1558,4.8997,0.7889,0.3461,0.8308,0.1939,-0.8842,0.2334,0.7263,0.1604,-0.6631,0.2208,0.8733,0.0926,-1.4381,0.106,5.3886,1.6643,1.2209,0.3089,3.3325,0.883,-0.5744,0.265,1.7031,0.6178,1.8481,0.3627,5.9534,1.3945,7.5327,1.5587,52.773,0.2417,0.0414,2.7101,145.7421,39.2865,0.9993990659713745
FL_examples (119),follicular_lymphoma,0.2,1,145,13.657,0.2092,33.01,5.206,15.3213,8.3371,1.8818,0.5442,15.7104,6.5498,1.8466,0.4169,0.8039,0.2019,-0.8434,0.2512,0.7148,0.1657,-0.7007,0.2318,0.8664,0.089,-1.0741,0.1027,5.7627,2.0852,1.642,0.3618,3.5934,1.056,0.3604,0.2939,1.6832,0.6788,2.9126,0.4033,5.9581,1.4606,7.4525,1.6521,46.6338,0.26,0.0427,2.6927,148.7163,39.1553,0.9958303570747375
FL_examples (119),follicular_lymphoma,0.3,1,119,11.208,0.1264,19.626,4.233,11.2753,4.8273,0.2023,0.4281,12.7763,3.8377,0.5498,0.3004,0.8505,0.1656,-1.0269,0.1947,0.727,0.1498,-0.4275,0.2061,0.8722,0.0843,-0.8343,0.0966,4.9371,1.2914,0.4888,0.2616,3.1015,0.8739,-0.0958,0.2818,1.6962,0.6439,2.3784,0.3796,6.0665,1.7872,7.9206,2.0398,56.9598,0.2257,0.0408,2.7133,138.774,39.0967,0.9984076619148254
FL_examples (39),follicular_lymphoma,0.0,1,125,11.773,0.2697,54.756,6.476,22.9104,13.9821,1.3717,0.6103,20.801,9.4806,1.1592,0.4558,0.7126,0.2146,-0.5202,0.3011,0.7397,0.1413,-1.4358,0.191,0.845,0.0964,-1.4761,0.1141,7.154,2.8581,1.3393,0.3995,4.3622,1.2776,0.3222,0.2929,1.6489,0.4426,1.6898,0.2684,6.3682,1.5505,7.877,1.7476,37.1784,0.2756,0.0466,2.9695,155.1508,35.6913,0.9624904990196228
FL_examples (39),follicular_lymphoma,0.1,1,126,11.867,0.2681,54.023,6.261,22.5926,13.8018,1.3846,0.6109,20.2143,9.1746,1.2071,0.4539,0.7368,0.2101,-0.6333,0.2851,0.7279,0.1452,-1.2417,0.1994,0.8521,0.0927,-1.4622,0.1088,7.0207,2.8733,1.4325,0.4093,4.3394,1.2417,0.3293,0.2861,1.6232,0.4504,1.7532,0.2775,6.2339,1.5345,7.8244,1.6936,36.2955,0.2795,0.047,2.9461,154.8292,35.6977,0.8827712535858154
